subj,stimulus,timestamp,x,y,duration,prev_sacc_amplitude,aoi_label
User 26,page1,35.384280,700.142100,533.524687,0.164550,376.952426,
User 26,page1,35.564940,630.359520,548.748900,0.181640,71.423981,
User 26,page1,35.762700,713.594215,545.390192,0.213370,83.302434,
User 26,page1,36.058110,972.518400,533.885100,0.081540,259.179668,
User 26,page1,36.156250,994.043400,565.133625,0.065920,37.944643,
User 26,page1,36.271480,1110.463200,578.602500,0.016120,117.196333,
User 26,page1,36.303710,1099.576800,533.401313,0.131350,46.493667,
User 26,page1,36.534180,539.952000,573.657000,0.033200,561.070795,
User 26,page1,36.583500,575.530667,620.840500,0.163570,59.094198,
User 26,page1,36.878910,852.737760,554.255100,0.164060,285.091894,
User 26,page1,37.075680,976.050982,562.105091,0.180670,123.562830,
User 26,page1,37.321780,1124.692800,585.490500,0.017090,150.470155,
User 26,page1,37.469730,552.918240,616.893900,0.082520,572.636290,
User 26,page1,37.568360,560.840000,597.443000,0.066890,21.002185,
User 26,page1,37.667480,660.340800,582.113438,0.148440,100.674747,
User 26,page1,37.881350,864.869305,560.934868,0.329100,205.622084,
User 26,page1,38.291990,720.298232,578.628474,0.328130,145.649782,
User 26,page1,38.654300,802.237333,564.839333,0.146480,83.091256,
User 26,page1,38.867190,1001.588000,559.758500,0.081540,199.415404,
User 26,page1,38.965820,995.164800,597.590000,0.049810,38.372906,
User 26,page1,39.080570,1095.070200,603.388625,0.197750,100.073538,
User 26,page1,39.344240,618.568720,602.042350,0.491700,476.503382,
User 26,page1,39.852540,704.928000,641.161500,0.016110,94.806293,
User 26,page1,39.918460,626.868738,469.177154,0.212890,188.869965,
User 26,page1,40.181150,544.320000,552.667500,0.049810,117.409251,
User 26,page1,40.246580,592.302000,585.880500,0.231450,58.355597,
User 26,page1,40.493160,585.702600,605.259375,0.067880,20.471758,
User 26,page1,40.591800,672.872480,585.513600,0.280270,89.378317,
User 26,page1,40.939450,860.281333,565.238333,0.178230,188.502426,
User 26,page1,41.133790,851.611600,580.708625,0.197260,17.733984,
User 26,page1,41.380370,754.647600,557.529000,0.032720,99.696100,
User 26,page1,41.429690,751.968000,506.982000,0.049800,50.617976,
User 26,page1,41.824220,861.907200,551.260500,0.016600,118.520940,
User 26,page1,41.856450,869.047200,494.865000,0.033200,56.845686,
User 26,page1,41.941890,1030.568000,534.835000,0.048340,166.392818,
User 26,page1,42.037600,669.715200,562.915500,0.016110,361.943722,
User 26,page1,42.070800,688.040123,554.030885,0.245120,20.365147,
User 26,page1,42.382320,1003.867200,560.899500,0.016120,315.901758,
User 26,page1,42.415040,1014.063120,512.923950,0.164550,49.047020,
User 26,page1,42.596190,1100.425200,519.020250,0.035160,86.576982,
User 26,page1,42.646970,1074.872400,571.278750,0.031740,58.171268,
User 26,page1,42.792970,560.224000,565.528250,0.098630,514.680526,
User 26,page1,42.908200,552.190800,530.780250,0.032720,35.664489,
User 26,page1,42.957520,563.148000,568.668000,0.131350,39.440358,
User 26,page1,43.121580,661.973550,540.374625,0.262700,102.795936,
User 26,page1,43.403810,615.451200,532.024500,0.014160,47.265777,
User 26,page1,43.466800,792.107400,587.698125,0.065910,185.221396,
User 26,page1,43.548830,781.127200,554.862000,0.115230,34.623343,
User 26,page1,43.712890,891.657600,548.164500,0.115240,110.733129,
User 26,page1,43.894530,1027.320000,547.432500,0.129880,135.664375,
User 26,page1,44.123050,583.973600,582.211000,0.050290,444.708415,
User 26,page1,44.222660,595.653333,628.437250,0.328610,47.678951,
User 26,page1,44.619140,711.167400,587.618625,0.507320,122.513917,
User 26,page1,45.191890,861.436800,583.189950,0.163580,150.334646,
User 26,page1,45.373050,816.328800,537.547500,0.016110,64.171371,
User 26,page1,45.421880,882.714000,603.004500,0.032710,93.228824,
User 26,page1,45.471190,812.112000,577.615500,0.018560,75.028286,
User 26,page1,45.520510,934.316320,587.808900,0.246580,122.628713,
User 26,page1,45.799800,1024.081333,567.833000,0.295410,91.960830,
User 26,page1,46.160160,1131.524800,616.973000,0.084470,118.147527,
User 26,page1,46.260250,1114.470764,598.187864,0.229010,25.371667,
User 26,page1,46.505860,1090.986400,593.508222,0.459960,23.946072,
User 26,page1,47.097660,552.162800,595.528500,0.147460,538.827387,
User 26,page1,47.261720,631.495200,625.601813,0.147460,84.841227,
User 26,page1,47.458980,536.821600,618.454813,0.427250,94.942984,
User 26,page1,47.918460,655.032000,642.495000,0.016600,120.630134,
User 26,page1,47.984380,752.935200,576.846000,0.132810,117.876324,
User 26,page1,48.132320,775.136320,597.260300,0.246590,30.160129,
User 26,page1,48.415040,894.131280,600.351150,0.161130,119.035095,
User 26,page1,48.625490,957.940200,565.944750,0.130860,72.493990,
User 26,page1,48.772950,989.100000,615.016500,0.016600,58.128907,
User 26,page1,48.854980,845.971467,587.699000,0.147950,145.712123,
User 26,page1,49.020020,831.826800,556.925250,0.032710,33.868795,
User 26,page1,49.086910,863.368800,638.872500,0.014650,87.808027,
User 26,page1,49.134770,740.407200,597.868500,0.147940,129.618221,
User 26,page1,49.331540,851.501000,580.307000,0.197760,112.473280,
User 26,page1,49.561520,962.145333,559.328000,0.165530,112.615660,
User 26,page1,49.760740,1042.748700,621.395250,0.129400,101.731245,
User 26,page1,49.906740,1030.680000,581.169750,0.032710,41.996957,
